지점명,일시,평균기온(°C),평균최고기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),연,월이름,월,계절,계절_index
서울,1939-04-01,11.6,18.6,62,59,3.1,1939,4월,4,봄,1
서울,1939-05-01,15.7,22,69,105.5,2.9,1939,5월,5,봄,1
서울,1939-06-01,20.8,27.2,71,109.1,3.1,1939,6월,6,여름,2
서울,1939-07-01,27.6,33.7,74,87.6,2.4,1939,7월,7,여름,2
서울,1939-08-01,27.5,34.4,63,49,2.8,1939,8월,8,여름,2
서울,1939-09-01,21,27.8,71,45.3,2.2,1939,9월,9,가을,3
서울,1939-10-01,14.3,21.2,68,69.3,2.3,1939,10월,10,가을,3
서울,1939-11-01,5.9,11.1,69,61.1,2.4,1939,11월,11,가을,3
서울,1939-12-01,-0.9,3.7,64,12.6,2.3,1939,12월,12,겨울,4
서울,1940-01-01,-7.4,-3.2,53,7.9,2.9,1940,1월,1,겨울,4
서울,1940-02-01,-2.3,2.3,61,45.5,2.8,1940,2월,2,겨울,4
서울,1940-03-01,3.7,9.7,63,16.8,3.1,1940,3월,3,봄,1
서울,1940-04-01,9.7,15.8,64,60.9,3.5,1940,4월,4,봄,1
서울,1940-05-01,16.3,23.2,64,80.3,3.3,1940,5월,5,봄,1
서울,1940-06-01,20.1,26.6,73,84.2,2.5,1940,6월,6,여름,2
서울,1940-07-01,23.4,27,89,1364.2,2.5,1940,7월,7,여름,2
서울,1940-08-01,24.3,29.1,78,69.5,2.5,1940,8월,8,여름,2
서울,1940-09-01,19.9,26.2,71,311.7,2.8,1940,9월,9,가을,3
서울,1940-10-01,14.7,22.2,68,20.4,2,1940,10월,10,가을,3
서울,1940-11-01,6.8,12.1,67,36.3,2.7,1940,11월,11,가을,3
서울,1940-12-01,-0.2,4.1,68,47.4,2.7,1940,12월,12,겨울,4
서울,1941-01-01,-3.8,1.2,69,24.1,2.4,1941,1월,1,겨울,4
서울,1941-02-01,-2.4,2.9,66,8.7,2.1,1941,2월,2,겨울,4
서울,1941-03-01,3.8,9.6,65,82.9,3.5,1941,3월,3,봄,1
서울,1941-04-01,10,16.3,63,49.5,3.7,1941,4월,4,봄,1
서울,1941-05-01,16.7,23,66,180.7,2.9,1941,5월,5,봄,1
서울,1941-06-01,21.2,26.9,76,139.7,2.3,1941,6월,6,여름,2
서울,1941-07-01,23.7,29.4,76,144.3,2.4,1941,7월,7,여름,2
서울,1941-08-01,23.8,28.7,86,255.7,2.8,1941,8월,8,여름,2
서울,1941-09-01,19.7,26.4,71,30.1,2,1941,9월,9,가을,3
서울,1941-10-01,12.9,19.4,66,67.3,2.7,1941,10월,10,가을,3
서울,1941-11-01,7.7,12.9,70,67.5,2.2,1941,11월,11,가을,3
서울,1941-12-01,0.4,4.5,68,13.2,2.2,1941,12월,12,겨울,4
서울,1942-01-01,-6.4,-1.7,63,10.4,2.8,1942,1월,1,겨울,4
